DOF,EI = 0,EI = 0.001EAL²,EI = 0.01EAL²,EI = 0.1EAL²
u1/(norm),0,0.0,0.0,0.0
u2/(norm),0,737.1983079398378,72.13851354100439,5.97031124176843
u3/(norm),-0.21099,-0.10122914198259962,-0.09877879647504734,-0.07951096140939955
u4/(norm),0.5524,0.0,0.0,0.0
u5/(norm),1.104,0.0,0.0,0.0
v1/(norm),0,0.0,0.0,0.0
v2/(norm),-0.870695,-0.5156127747559951,-0.5032029268658587,-0.40560908125754097
v3/(norm),-3.192,-492.91165150318494,-49.503607147191225,-5.117425895680748
v4/(norm),-4.692,0.0,0.0,0.0
v5/(norm),0,0.0,0.0,0.0
θ1/(norm),N/A,0.0,0.0,0.0
θ2/(norm),N/A,-339.62182565267403,-33.275522889412606,-2.7875430733712947
θ3/(norm),N/A,-128.10702864950306,-12.790259062016109,-1.2629384336798335
θ4/(norm),N/A,433.7372529521403,43.52283489140147,4.469538638600478
θ5/(norm),N/A,0.0,0.0,0.0
